iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
9,1786564412.133299,1786564474.1317973,1786564474.1390884,1786564476.809525,2977,2125,61.9984130859375,True,[],,errored,1.0,False,5620.028,42.774,5662.802000000001,dense,3,10,run_2_repetition_1
10,1786564476.8161151,1786564539.358507,1786564539.3730023,1786564542.0920773,3373,2131,62.54230499267578,True,[],,errored,1.0,False,5818.062,41.874,5859.936,dense,3,10,run_2_repetition_1
1,1786524123.040855,1786524182.916741,1786524182.9239671,1786524231.0044122,2613,2055,59.87577819824219,True,[],0.6682,reverted,0.0,True,5701.956,4843.24,10545.196,dense,3,10,run_2_repetition_2
2,1786524231.0058515,1786524291.1561935,1786524291.1637516,1786524339.196193,2762,2065,60.15024733543396,True,[],0.2962,reverted,0.0,True,5956.087,4500.934,10457.021,dense,3,10,run_2_repetition_2
3,1786524339.197568,1786524399.658645,1786524399.673127,1786524447.7028277,2805,2074,60.46098852157593,True,[],0.0894,reverted,0.0,True,5911.826,4252.88,10164.706,dense,3,10,run_2_repetition_2
4,1786524447.709468,1786524507.5692475,1786524507.57609,1786524555.6561303,2730,2057,59.85969090461731,True,[],0.3566,reverted,0.0,True,5833.52,4675.826,10509.346,dense,3,10,run_2_repetition_2
5,1786524555.6575086,1786524617.0881908,1786524617.102328,1786524665.1863968,2865,2106,61.43059062957764,True,[],0.0964,reverted,0.0,True,6112.718,4565.574,10678.292,dense,3,10,run_2_repetition_2
6,1786524665.1877875,1786524726.4115117,1786524726.418587,1786524774.5030074,2941,2097,61.22358584403992,True,[],0.0964,reverted,0.0,True,6011.942,4413.291,10425.233,dense,3,10,run_2_repetition_2
7,1786524774.5095394,1786524836.0575294,1786524836.072871,1786524884.1549072,2834,2113,61.54789924621582,True,[],0.3476,reverted,0.0,True,6011.041,4789.525,10800.566,dense,3,10,run_2_repetition_2
8,1786524884.1563113,1786524948.1227286,1786524948.137395,1786524951.058236,3016,2190,63.966330766677856,True,[],,errored,1.0,False,6387.083,47.038,6434.120999999999,dense,3,10,run_2_repetition_2
9,1786524951.064553,1786525015.5448914,1786525015.5596807,1786525018.4801264,3518,2191,64.48020529747009,True,[],,errored,1.0,False,6462.992,40.057,6503.049,dense,3,10,run_2_repetition_2
10,1786525018.4866602,1786525080.3677912,1786525080.382341,1786525083.303132,3541,2101,61.88104271888733,True,[],,errored,1.0,False,6214.105,36.622,6250.727,dense,3,10,run_2_repetition_2
1,1786552426.2203465,1786552485.7132504,1786552485.7211256,1786552533.595687,2613,2042,59.492796182632446,True,[],0.104,reverted,0.0,True,5340.3,4338.208,9678.508,dense,3,20,run_3_repetition_0
2,1786552533.5970662,1786552595.7847614,1786552595.7925408,1786552598.6131475,2740,2136,62.18760228157044,True,[],,errored,1.0,False,5638.17,29.204,5667.374,dense,3,20,run_3_repetition_0
3,1786552598.6196282,1786552661.2751434,1786552661.2824774,1786552664.1531632,3261,2135,62.65538763999939,True,[],,errored,1.0,False,5947.911,42.895,5990.8060000000005,dense,3,20,run_3_repetition_0
4,1786552664.1595223,1786552725.953766,1786552725.9684465,1786552728.839294,3264,2105,61.794114112854,True,[],,errored,1.0,False,5801.349,35.038,5836.387,dense,3,20,run_3_repetition_0
5,1786552728.847587,1786552791.2059183,1786552791.220575,1786552794.0912726,3284,2124,62.35824513435364,True,[],,errored,1.0,False,5965.258,29.215,5994.473,dense,3,20,run_3_repetition_0
6,1786552794.0985649,1786552857.048499,1786552857.0629456,1786552859.9343393,3307,2144,62.949848890304565,True,[],,errored,1.0,False,5892.633,35.841,5928.474,dense,3,20,run_3_repetition_0
7,1786552859.941222,1786552922.0605433,1786552922.0681093,1786552924.889057,3328,2115,62.11923670768738,True,[],,errored,1.0,False,5853.017,31.105,5884.121999999999,dense,3,20,run_3_repetition_0
8,1786552924.8954985,1786552987.6919825,1786552987.698566,1786552990.520176,3350,2138,62.79640054702759,True,[],,errored,1.0,False,5909.615,38.243,5947.858,dense,3,20,run_3_repetition_0
9,1786552990.5264237,1786553053.6867774,1786553053.701578,1786553056.5722702,3372,2150,63.16027021408081,True,[],,errored,1.0,False,5895.692,35.002,5930.694,dense,3,20,run_3_repetition_0
10,1786553056.5790918,1786553118.608063,1786553118.6222908,1786553121.493093,3394,2111,62.02888822555542,True,[],,errored,1.0,False,5906.117,30.787,5936.904,dense,3,20,run_3_repetition_0
11,1786553121.499644,1786553183.8694112,1786553183.8763256,1786553186.7473905,3417,2122,62.36968064308167,True,[],,errored,1.0,False,5794.809,37.553,5832.362,dense,3,20,run_3_repetition_0
12,1786553186.7539113,1786553249.8338485,1786553249.8487084,1786553252.7200656,3440,2146,63.07985210418701,True,[],,errored,1.0,False,5991.848,31.123,6022.971,dense,3,20,run_3_repetition_0
13,1786553252.7268822,1786553315.2652884,1786553315.2806194,1786553318.1511858,3463,2127,62.53827595710754,True,[],,errored,1.0,False,5786.812,40.482,5827.294,dense,3,20,run_3_repetition_0
